Release,Filename,LOC,NR,nAuth,locTouched,locAdded,max_locAdded,avg_locAdded,churn,max_churn,avg_churn,chgSetSize,max_chgSetSize,avg_chgSetSize,Buggy
1,src/java/test/org/apache/zookeeper/test/LETest.java,127,2,2,138,135,131,27,263,132,132.0,19,15,10,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/OOMTest.java,136,13,4,345,311,128,10,3272,278,252.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/QuorumTest.java,161,17,5,451,362,88,5,2981,274,175.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/RecoveryTest.java,179,15,4,474,406,129,7,4111,342,274.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/SessionTest.java,162,17,5,508,399,103,7,3633,290,214.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/SledgeHammer.java,104,13,5,254,233,97,14,2504,213,193.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/StatTest.java,190,2,2,205,205,198,26,403,205,202.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/SyncCallTest.java,86,3,2,140,118,114,13,305,114,102.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/TestHammer.java,54,14,5,141,125,47,8,1146,109,82.0,0,0,0,N
1,src/java/test/org/apache/zookeeper/test/UpgradeTest.java,104,1,1,110,110,110,110,110,110,110.0,13,13,13,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/WatchedEventTest.java,82,1,1,95,95,95,95,95,95,95.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/WatcherFuncTest.java,383,7,2,684,572,436,5,3137,460,448.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/WatcherTest.java,274,4,3,312,298,163,18,643,284,161.0,0,0,0,N
1,zookeeper-server/src/test/java/org/apache/zookeeper/test/ZooKeeperTestClient.java,349,15,5,931,851,388,14,10660,772,711.0,0,0,0,N
2,zookeeper-server/src/main/java/org/apache/zookeeper/jmx/CommonNames.java,27,0,0,0,0,0,0,0,0,0.0,0,0,0,N
2,zookeeper-server/src/main/java/org/apache/zookeeper/jmx/MBeanRegistry.java,167,0,0,0,0,0,0,0,0,0.0,0,0,0,N
2,zookeeper-server/src/main/java/org/apache/zookeeper/jmx/ZKMBeanInfo.java,34,0,0,0,0,0,0,0,0,0.0,0,0,0,N
2,zookeeper-server/src/main/java/org/apache/zookeeper/server/ConnectionBean.java,105,0,0,0,0,0,0,0,0,0.0,0,0,0,N
2,zookeeper-server/src/main/java/org/apache/zookeeper/server/ConnectionMXBean.java,66,0,0,0,0,0,0,0,0,0.0,0,0,0,N
2,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,76,0,0,0,0,0,0,0,0,0.0,0,0,0,N
