Release;Filename;LOC;NR;nAuth;locTouched;locAdded;max_locAdded;avg_locAdded;churn;max_churn;avg_churn;chgSetSize;max_chgSetSize;avg_chgSetSize;Buggy
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java;896;10;10;634;477;477;385.0;320;348;385.0;673;673;262.0;Y
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java;81;3;3;106;99;99;94.0;92;92;94.0;124;124;48.0;Y
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java;63;3;3;17;9;9;5.0;1;1;5.0;127;127;42.0;Y
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java;175;6;6;40;25;25;12.0;10;10;12.0;306;306;104.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java;106;3;3;126;122;122;119.0;118;118;119.0;95;95;32.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java;46;1;1;55;55;55;55.0;55;55;55.0;0;0;0.0;Y
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java;136;4;4;37;14;14;7.0;-9;1;7.0;173;173;52.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java;96;4;4;64;45;45;16.0;26;26;16.0;188;188;60.0;Y
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java;103;5;5;25;14;14;8.0;3;3;8.0;226;226;66.0;N
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java;55;3;3;13;8;8;4.0;3;3;4.0;124;124;40.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java;64;1;1;72;72;72;72.0;72;72;72.0;0;0;0.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java;40;1;1;42;42;42;42.0;42;42;42.0;0;0;0.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java;44;3;3;64;56;56;52.0;48;48;52.0;125;125;40.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java;58;2;2;71;67;67;65.0;63;63;65.0;78;78;30.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java;222;2;2;277;257;257;247.0;237;237;247.0;78;78;30.0;Y
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java;113;3;3;145;139;139;136.0;133;133;136.0;125;125;40.0;Y
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java;115;4;4;163;150;150;143.0;137;137;143.0;174;174;52.0;Y
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java;153;3;3;185;181;181;178.0;177;177;178.0;127;127;41.0;Y
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java;41;2;2;48;47;47;47.0;46;46;47.0;78;78;30.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java;101;5;5;146;137;137;131.0;128;128;131.0;243;243;75.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java;129;3;3;155;152;152;150.0;149;149;150.0;127;127;41.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java;53;2;2;60;59;59;59.0;58;58;59.0;78;78;30.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java;140;2;2;155;152;152;150.0;149;149;150.0;78;78;30.0;Y
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java;64;2;2;82;78;78;76.0;74;74;76.0;78;78;30.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java;32;1;1;37;37;37;37.0;37;37;37.0;0;0;0.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java;33;2;2;42;40;40;39.0;38;38;39.0;78;78;30.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java;34;2;2;41;40;40;40.0;39;39;40.0;78;78;30.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java;82;4;4;118;107;107;101.0;96;96;101.0;174;174;52.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java;77;3;3;94;91;91;89.0;88;88;89.0;127;127;41.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java;64;4;4;85;78;78;74.0;71;71;74.0;174;174;52.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java;102;4;4;132;123;123;118.0;114;114;118.0;174;174;52.0;Y
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java;317;6;6;492;414;414;381.0;336;336;381.0;292;292;91.0;Y
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java;76;4;4;102;93;93;88.0;84;84;88.0;174;174;52.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java;49;3;3;68;63;63;61.0;58;58;61.0;125;125;40.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java;112;4;4;137;130;130;126.0;123;123;126.0;174;174;52.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java;332;1;1;19;14;14;8.0;9;9;8.0;0;0;0.0;Y
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java;211;5;5;255;243;243;236.0;231;231;236.0;261;261;89.0;Y
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java;541;4;4;704;645;645;616.0;586;586;616.0;174;174;52.0;Y
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java;333;5;5;414;390;390;378.0;366;366;378.0;269;269;96.0;Y
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java;88;4;4;117;108;108;103.0;99;99;103.0;174;174;52.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java;35;1;1;41;41;41;41.0;41;41;41.0;0;0;0.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java;54;2;2;92;79;79;72.0;66;66;72.0;78;78;30.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java;47;3;3;56;55;55;49.0;54;54;49.0;124;124;40.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java;42;2;2;55;51;51;49.0;47;47;49.0;78;78;30.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java;156;4;4;223;203;203;193.0;183;185;193.0;157;157;46.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java;43;1;1;49;49;49;49.0;49;49;49.0;0;0;0.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/util/Either.java;41;1;1;50;50;50;50.0;50;50;50.0;0;0;0.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java;78;2;2;102;100;100;99.0;98;98;99.0;49;49;12.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java;120;1;1;138;138;138;138.0;138;138;138.0;0;0;0.0;Y
1;hedwig-client/src/main/java/org/apache/hedwig/util/Option.java;35;1;1;43;43;43;43.0;43;43;43.0;0;0;0.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java;35;1;1;42;42;42;42.0;42;42;42.0;0;0;0.0;N
1;hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java;50;1;1;56;56;56;56.0;56;56;56.0;0;0;0.0;Y
1;hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java;47;2;2;53;52;52;52.0;51;51;52.0;78;78;30.0;N
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java;35;1;1;41;41;41;41.0;41;41;41.0;0;0;0.0;N
